"","x"
"1","D Getz"
"2","L Chalip.
 BW Ritchie.
 D Adair"
"3","X Xing.
 L Chalip"
"4","L Chalip.
 CA Costa"
"5","S Graham.
 JJ Goldblatt.
 L Delpy Neirotti"
"6","BC Green.
 C Costa.
 M Fitzgerald"
"7","H Preuss"
"8","D O'Brien.
 L Chalip"
"9","DC Funk.
 K Toohey.
 T Bruun"
"10","L Chalip.
 A Leyns"
"11","D Getz.
 S Fairley"
"12","CK Lee.
 T Taylor"
"13","K Kaplanidou.
 C Vogt"
"14","A Smith"
"15","GB Cunningham.
 H Kwon"
"16","BC Green.
 SY Lim.
 WJ Seo.
 Y Sung"
"17","D Getz"
"18","MM Parent"
"19","EH Wensing.
 T Bruce"
